series,date,index,index_sa
growth_mom,2022-09-01,1.227,-0.242
growth_yoy,2022-09-01,10.844,10.736
abs,2022-10-01,129.836,125.947
growth_mom,2022-10-01,-0.962,-2.607
growth_yoy,2022-10-01,4.378,4.755
abs,2022-11-01,131.05,127.775
growth_mom,2022-11-01,0.935,1.451
growth_yoy,2022-11-01,4.889,4.83
abs,2022-12-01,130.2,126.097
growth_mom,2022-12-01,-0.649,-1.313
growth_yoy,2022-12-01,2.848,2.956
abs,2023-01-01,127.352,123.935
growth_mom,2023-01-01,-2.187,-1.715
growth_yoy,2023-01-01,1.992,1.679
abs,2023-02-01,120.637,127.175
growth_mom,2023-02-01,-5.273,2.614
growth_yoy,2023-02-01,3.603,3.063
abs,2023-03-01,130.644,127.678
growth_mom,2023-03-01,8.295,0.396
growth_yoy,2023-03-01,3.194,3.052
abs,2023-04-01,116.599,122.862
growth_mom,2023-04-01,-10.75,-3.772
growth_yoy,2023-04-01,-3.219,-2.946
abs,2023-05-01,125.105,129.44
growth_mom,2023-05-01,7.295,5.354
growth_yoy,2023-05-01,4.75,4.893
abs,2023-06-01,127.895,127.389
growth_mom,2023-06-01,2.23,-1.585
growth_yoy,2023-06-01,-2.221,-2.536
abs,2023-07-01,125.596,129.824
growth_mom,2023-07-01,-1.798,1.911
growth_yoy,2023-07-01,0.735,0.615
abs,2023-08-01,129.142,128.856
growth_mom,2023-08-01,2.823,-0.746
growth_yoy,2023-08-01,-0.283,-0.599
abs,2023-09-01,130.551,128.502
growth_mom,2023-09-01,1.091,-0.275
growth_yoy,2023-09-01,-0.417,-0.631
abs,2023-10-01,133.095,128.616
growth_mom,2023-10-01,1.949,0.089
growth_yoy,2023-10-01,2.51,2.119
abs,2023-11-01,131.833,128.058
growth_mom,2023-11-01,-0.949,-0.434
growth_yoy,2023-11-01,0.597,0.221
abs,2023-12-01,130.12,126.097
growth_mom,2023-12-01,-1.299,-1.531
growth_yoy,2023-12-01,-0.061,0.0
abs,2024-01-01,132.74,130.139
growth_mom,2024-01-01,2.013,3.205
growth_yoy,2024-01-01,4.231,5.006
abs,2024-02-01,124.419,130.778
growth_mom,2024-02-01,-6.269,0.491
growth_yoy,2024-02-01,3.135,2.833
abs,2024-03-01,133.844,130.861
growth_mom,2024-03-01,7.575,0.063
growth_yoy,2024-03-01,2.45,2.493
abs,2024-04-01,123.734,131.068
growth_mom,2024-04-01,-7.553,0.158
growth_yoy,2024-04-01,6.119,6.679
abs,2024-05-01,128.111,132.506
growth_mom,2024-05-01,3.537,1.097
growth_yoy,2024-05-01,2.402,2.369
abs,2024-06-01,134.245,132.82
growth_mom,2024-06-01,4.788,0.237
growth_yoy,2024-06-01,4.964,4.263
abs,2024-07-01,132.24,135.072
growth_mom,2024-07-01,-1.493,1.696
growth_yoy,2024-07-01,5.29,4.042
abs,2024-08-01,134.496,133.651
growth_mom,2024-08-01,1.706,-1.052
growth_yoy,2024-08-01,4.146,3.721
abs,2024-09-01,133.389,131.554
growth_mom,2024-09-01,-0.822,-1.569
growth_yoy,2024-09-01,2.174,2.375
abs,2024-10-01,135.782,131.832
growth_mom,2024-10-01,1.794,0.211
growth_yoy,2024-10-01,2.019,2.5
abs,2024-11-01,136.531,132.473
growth_mom,2024-11-01,0.551,0.486
growth_yoy,2024-11-01,3.564,3.448
abs,2024-12-01,136.042,132.856
growth_mom,2024-12-01,-0.358,0.289
growth_yoy,2024-12-01,4.551,5.36
abs,2025-01-01,135.546,133.151
growth_mom,2025-01-01,-0.365,0.222
growth_yoy,2025-01-01,2.114,2.314
abs,2025-02-01,126.344,132.7
